212.115.83.247	212.115.64.0/19
195.137.132.91	195.137.128.0/20
212.56.184.156	212.56.160.0/19
193.193.173.90	193.193.172.0/23
80.84.107.224	80.84.96.0/20
62.128.68.5	62.128.64.0/19
62.128.64.136	62.128.64.0/24
62.128.83.104	62.128.80.0/21
62.128.80.37	62.128.80.32/28
212.28.189.151	212.28.160.0/19
212.28.160.114	212.28.160.0/24
193.108.186.163	193.108.186.0/24
193.193.183.190	193.193.183.0/24
81.21.134.69	81.21.128.0/21
212.91.55.223	212.91.32.0/19
80.68.205.133	80.68.205.0/24
82.145.111.223	82.145.96.0/19
146.133.67.61	146.133.0.0/16
146.133.82.123	146.133.0.0/17
146.133.156.125	146.133.128.0/19
146.133.174.185	146.133.160.0/19
146.133.192.111	146.133.192.0/19
146.133.2.69	146.133.2.0/24
146.133.240.158	146.133.224.0/19
146.133.5.242	146.133.5.0/24
146.133.6.20	146.133.6.0/24
217.12.133.128	217.12.128.0/20
217.65.67.163	217.65.64.0/21
217.65.64.150	217.65.64.0/24
217.65.65.105	217.65.65.0/24
217.65.66.180	217.65.66.0/24
217.65.67.126	217.65.67.0/24
217.65.68.136	217.65.68.0/24
217.65.69.102	217.65.69.0/24
217.65.70.0	217.65.70.0/24
217.65.71.1	217.65.71.0/24
212.45.97.150	212.45.96.0/21
151.91.32.51	151.91.32.0/25
151.91.32.128	151.91.32.128/30
151.91.32.132	151.91.32.132/30
193.42.3.45	193.42.2.0/23
213.199.3.64	213.199.0.0/19
213.234.162.83	213.234.128.0/18
62.123.135.56	62.123.0.0/16
62.85.199.54	62.85.192.0/19
193.194.19.136	193.194.16.0/22
193.194.20.197	193.194.20.0/24
188.65.0.234	188.65.0.0/21
194.105.61.239	194.105.61.0/24
193.203.228.66	193.203.228.0/24
193.203.229.158	193.203.229.0/24
193.203.230.78	193.203.230.0/24
193.203.231.133	193.203.231.0/24
195.160.208.109	195.160.208.0/24
195.7.17.188	195.7.16.0/23
195.7.18.127	195.7.18.0/23
81.26.192.114	81.26.192.0/23
81.26.194.138	81.26.194.0/23
194.153.131.219	194.153.131.0/24
213.178.197.31	213.178.192.0/20
46.229.95.127	46.229.80.0/20
62.100.82.235	62.100.82.0/24
89.189.33.131	89.189.32.0/20
89.189.55.158	89.189.55.0/24
89.189.63.128	89.189.56.0/21
213.144.72.103	213.144.64.0/19
37.60.39.67	37.60.32.0/21
5.172.215.209	5.172.208.0/21
5.198.227.212	5.198.224.0/20
213.152.218.15	213.152.192.0/19
213.152.199.53	213.152.192.0/21
213.152.203.57	213.152.200.0/22
213.152.205.143	213.152.204.0/23
62.221.171.153	62.221.168.0/21
62.221.183.140	62.221.176.0/21
193.42.190.225	193.42.160.0/19
193.42.198.57	193.42.192.0/20
193.42.208.13	193.42.208.0/23
178.237.10.249	178.237.0.0/20
62.48.52.223	62.48.32.0/19
91.102.48.19	91.102.48.0/21
